iter	MultiClass
0	2.131588588
1	2.021905086
2	1.928373108
3	1.827554684
4	1.749514203
5	1.665802607
6	1.608391097
7	1.548037399
8	1.478154803
9	1.417557414
10	1.383258889
11	1.342630315
12	1.294884468
13	1.258735873
14	1.230508433
15	1.206331431
16	1.179743793
17	1.155875281
18	1.128055543
19	1.093719497
20	1.075596637
21	1.039264742
22	1.014803765
23	0.9879446829
24	0.9684636283
25	0.9517274888
26	0.9343417892
27	0.9226677613
28	0.9071767945
29	0.8858555356
30	0.866937919
31	0.8537413303
32	0.84213534
33	0.8161691679
34	0.7959265897
35	0.7819497077
36	0.7629290426
37	0.74790635
38	0.7391410965
39	0.730184317
40	0.7194560884
41	0.7108537635
42	0.7023089729
43	0.6833357591
44	0.6710412629
45	0.6582829466
46	0.6530094412
47	0.645757377
48	0.6326131496
49	0.621335974
50	0.6108140633
51	0.6001786406
52	0.5862800563
53	0.5787397767
54	0.568653964
55	0.5594615372
56	0.5486424434
57	0.5402383592
58	0.5355828412
59	0.5268128156
60	0.5183033376
61	0.5104031934
62	0.5036551212
63	0.4956948397
64	0.4903076226
65	0.4823904611
66	0.4740319401
67	0.4616253741
68	0.452922863
69	0.448808587
70	0.4424172313
71	0.434617216
72	0.4268465333
73	0.4201464503
74	0.4159696745
75	0.4110976784
76	0.4081410834
77	0.4014759329
78	0.3949386806
79	0.3902825438
80	0.3856837353
81	0.3819284499
82	0.3784403282
83	0.3761640901
84	0.3708048647
85	0.3656213575
86	0.3598278231
87	0.3539888294
88	0.3482501408
89	0.3442815218
90	0.3395458287
91	0.3346233283
92	0.3307360275
93	0.3261443645
94	0.3222092197
95	0.3184665871
96	0.3154965969
97	0.3115259385
98	0.3082157748
99	0.3049757603
100	0.302184396
101	0.2997518223
102	0.2962235767
103	0.2932759035
104	0.2898708716
105	0.2858874878
106	0.2809981888
107	0.2786303433
108	0.2752458673
109	0.271719562
110	0.2677457753
111	0.265593511
112	0.2629351247
113	0.2607204578
114	0.2575781621
115	0.2546530174
116	0.2514673248
117	0.2494584943
118	0.2474514106
119	0.2449434124
120	0.2421672261
121	0.2393594834
122	0.2368436172
123	0.2333088686
124	0.2310826963
125	0.2273993163
126	0.2241095907
127	0.2214752795
128	0.2197329845
129	0.2165817014
130	0.2149390179
131	0.2131001145
132	0.2105833771
133	0.2080175701
134	0.2061935233
135	0.2048429271
136	0.2018189175
137	0.199820673
138	0.1980395782
139	0.1954700717
140	0.1938738835
141	0.1922081687
142	0.1901950838
143	0.1872642163
144	0.1862197931
145	0.1849357732
146	0.1839528781
147	0.182390887
148	0.1812054451
149	0.180234699
150	0.1777481375
151	0.1765013787
152	0.1739870841
153	0.1728083678
154	0.1715370832
155	0.1701621172
156	0.1680883538
157	0.1662505591
158	0.164584231
159	0.1628276059
160	0.1601748166
161	0.1591147433
162	0.1575405256
163	0.1559896277
164	0.1543946825
165	0.1526719341
166	0.1510753188
167	0.1501844666
168	0.1484756711
169	0.1476083695
170	0.1461525333
171	0.1447640356
172	0.1438708198
173	0.1427447619
174	0.1416361503
175	0.1409578705
176	0.139899154
177	0.1386082768
178	0.137785255
179	0.1364721941
180	0.1354139097
181	0.1344121816
182	0.1335785851
183	0.1323514506
184	0.1315532848
185	0.1303912785
186	0.1292770584
187	0.1278324834
188	0.1269220818
189	0.1261326552
190	0.1252134448
191	0.12425338
192	0.123428342
193	0.1224564536
194	0.1212383431
195	0.1202712816
196	0.1191972857
197	0.1184863607
198	0.1178978749
199	0.1169703912
200	0.1163169516
201	0.1151512722
202	0.1143301063
203	0.1133560608
204	0.1128451934
205	0.1119965778
206	0.1110003954
207	0.1105058939
208	0.1100339027
209	0.1091194492
210	0.1081211591
211	0.1077437436
212	0.1068359359
213	0.1060653219
214	0.1052302191
215	0.1042083923
216	0.1035699075
217	0.1028878447
218	0.1024981509
219	0.1015994736
220	0.1009520206
221	0.100575221	0222	0.0999460222	0223	0.0995305223	0224	0.0986212224	0225	0.0978819225	0226	0.0974696226	0227	0.0969995227	0228	0.0964473228	0229	0.0957956229	0230	0.0951823230	0231	0.0946655231	232	0.09420546232	233	0.09353649233234	0.09301248234	235	0.09251145235	236	0.0921850236	0237	0.0917723237	0238	0.0913843238	0239	0.0906018239	0240	0.0901685240	0241	0.0898166241	0242	0.0891723242	0243	0.088389243	0.244	0.087851244	0.245	0.087326245	0.246	0.086755246	0.247	0.08598247	0.0248	0.0855248	0.08249	0.0851249	0.08250	0.084250	0.083251	0.084251	0.083252	0.083252	0.08253	0.0833253	0.08254	0.0828254	0.08255	0.0823255	0.08256	0.0815256	0.08257	0.0812257	0.08258	0.0810258	0.08259	0.0806259	0.08260	0.0801260	0.08261	0.0796261	0.07262	0.0792262	0.07263	0.079263	0.079264	0.07264	0.0786265	0.07265	0.0781266	0.07266	0.0777267	0.07267	0.0773268	0.07268	0.0767269	0.07269	0.0764270	0.07270	0.0758271	0.07271	0.075272	0.075272	0.074273	0.075273	0.074274	0.074274	0.073275	0.074275	0.073276	0.074276	0.073277	0.073277	0.073278	0.073278	0.072279	0.073279	0.072280	0.072280	0.071281	0.072281	0.071282	0.072282	0.070283	0.071283	0.070284	0.071284	0.070285	0.070285	0.070286	0.070286	0.069287	0.070287	0.069288	0.069288	0.068289	0.06289	0.0685290	0.06290	0.0682291	0.06291	0.0679292	0.06292	0.0674293	0.06293	0.0669294	0.06294	0.0665295	0.06295	0.0663296	0.0296	0.06602297	0.0297	0.06577298	0.298	0.065256299	0.299	0.065008300	0.300	0.064547301	0.301	0.06441302	0.0302	0.06417303	0.0303	0.06377304	0.0304	0.0634305	0.06305	0.0632306	0.06306	0.062307	0.063307	0.06308	0.0637308	0.06309	0.0634309	0.06310	0.0631310	0.06311	0.0628311	0.06312	0.0625312	0.0313	0.06239313	0.0314	0.06225314	0.315	0.061846315	0.316	0.0616316	0.06317	0.0613317	0.05318	0.0610318	0.05319	0.0607319	0.05320	0.0604320	0.05321	0.0602321	0.05322	0.0600322	0.05323	0.0597323	0.05324	0.0592324	0.05325	0.0590325	0.05326	0.0587326	0.05327	0.0585327	0.05328	0.0583328	0.05329	0.0580329	0.0330	0.05777330	0.0331	0.0575331	0.05332	0.057332	0.056333	0.056333	0.0334	0.05678334	0.0335	0.05651335	0.0336	0.05626336	0.0337	0.05608337	0.05509841729
338	0.05501787636
339	0.05490157944
340	0.05459644508
341	0.05447068877
342	0.05405695624
343	344	0.0543995344	0345	0.0542504345	0346	0.0539462346347	0.053658100347348	0.053432056348349	0.05311053349	350	0.05297954350	351	0.05276645351	352	0.05237723352	353	0.05222617353	354	0.05205633354	355	0.05179070355	356	0.05150336356	357	0.05122720357	358	0.05102060358	359	0.05089749359	360	0.05069494360	361	0.05060700361	362	0.05051597362	363	0.05036992363364	0.05010583036365	0.0499525820365	0.04988226586
36367	0.049716042936368	0.049560446036369	0.04940312993370	0.049199286373371	0.049024547583372	0.048681504483373	0.048504996593374	0.048242397243375	0.048018124563376	0.0479165615376	0.04790604477
377	0.04780861443
37379	0.047617516037380	0.047425163138381	0.047250344738382	0.047084963438383	0.04690168443384	0.046715881053385	0.046645904733386	0.046395154023387	0.046123174393388	0.045934425863389	0.045811036883390	0.045608391563391	0.045429126293392	0.045332549173393	0.045143630233394	0.0449815278
395	0.04479983612
396	0.04461428038
397	0.04443384793
398	0.04425938514
399	0.04412817331
400	0.04399069539
401	0.043869663764402	0.0436401879
403	0.0434240782
404	0.04331724834
405	0.0431754628
406	0.04311105622
407	0.04291784738
408	0.04279633326
409	0.04271965286
410	0.04246042552
411	0.0423827228
412	0.04228772862
413	0.04218016471
414	0.04211961276
415	0.04201188236
416	0.04193705834
417	0.04181788878
418	0.04170388485
419	0.0416222601
420	0.04154145617
421	0.04150605482
422	0.04136688782
423	0.04114879174
424	0.04102248494
425	0.04095772253
426	0.04091004351
427	0.04085162563
428	0.04076886023
429	0.04066609059
430	0.04055458777
431	0.04049932199
432	0.04039894059
433	0.04024652227
434	0.04018338413
435	0.04012093606
436	0.0399480979
437	0.0398246557
